case_name,speed_mps,bank_deg,eig_index,eig_real,eig_imag
level_70,70,0,1,0,0
level_70,70,0,2,0,0
level_70,70,0,3,4.33391527870725e-40,0
level_70,70,0,4,-2.16840434497101e-19,0.0229709329054424
level_70,70,0,5,-2.16840434497101e-19,-0.0229709329054424
level_70,70,0,6,5.42101086242752e-20,0.0114854664527302
level_70,70,0,7,5.42101086242752e-20,-0.0114854664527302
level_70,70,0,8,5.42101086242752e-20,0.0114854664527212
level_70,70,0,9,5.42101086242752e-20,-0.0114854664527212
level_70,70,0,10,-3.05069051617646e-11,0.0104604635966932
level_70,70,0,11,-3.05069051617646e-11,-0.0104604635966932
level_70,70,0,12,0,0
level_70,70,0,13,0,0
level_85,85,0,1,0,0
level_85,85,0,2,0,0
level_85,85,0,3,3.58947193892617e-41,0
level_85,85,0,4,-1.49077798716757e-19,0.00189949210827194
level_85,85,0,5,-1.49077798716757e-19,-0.00189949210827194
level_85,85,0,6,-1.05879118406788e-22,0.000949746054135453
level_85,85,0,7,-1.05879118406788e-22,-0.000949746054135453
level_85,85,0,8,2.71050543121376e-19,0.000949746054135972
level_85,85,0,9,2.71050543121376e-19,-0.000949746054135972
level_85,85,0,10,-2.52265808069196e-12,0.000864987422693344
level_85,85,0,11,-2.52265808069196e-12,-0.000864987422693344
level_85,85,0,12,0,0
level_85,85,0,13,0,0
bank_5deg_70,70,5,1,0,0
bank_5deg_70,70,5,2,0,0
bank_5deg_70,70,5,3,0,0
bank_5deg_70,70,5,4,-3.19827473442947e-18,0
bank_5deg_70,70,5,5,6.93889390390723e-18,0.0491727530109508
bank_5deg_70,70,5,6,6.93889390390723e-18,-0.0491727530109508
bank_5deg_70,70,5,7,0,0.0245863765054201
bank_5deg_70,70,5,8,0,-0.0245863765054201
bank_5deg_70,70,5,9,-1.0842021724855e-19,0.0245863765054754
bank_5deg_70,70,5,10,-1.0842021724855e-19,-0.0245863765054754
bank_5deg_70,70,5,11,-0.013973842906079,0
bank_5deg_70,70,5,12,-0.00400057565544114,0
bank_5deg_70,70,5,13,0.017974418563202,0
